entity_id,ts,day_type,tod_slot,temperature,power_active_kw,power_active_kw_clean,case_id
Eagle_office_Norbert,2017-01-01 00:00:00,le,0,7.2,80.45490264892578,80.45490264892578,
Eagle_office_Norbert,2017-01-01 01:00:00,le,1,7.2,77.79930114746094,77.79930114746094,
Eagle_office_Norbert,2017-01-01 02:00:00,le,2,7.2,79.69290161132812,79.69290161132812,
Eagle_office_Norbert,2017-01-01 03:00:00,le,3,6.7,77.55999755859375,77.55999755859375,
Eagle_office_Norbert,2017-01-01 04:00:00,le,4,6.1,77.52549743652344,77.52549743652344,
Eagle_office_Norbert,2017-01-01 05:00:00,le,5,6.7,76.0905990600586,76.0905990600586,
Eagle_office_Norbert,2017-01-01 06:00:00,le,6,6.1,81.78710174560547,81.78710174560547,
Eagle_office_Norbert,2017-01-01 07:00:00,le,7,5.6,102.02459716796875,102.02459716796875,
Eagle_office_Norbert,2017-01-01 08:00:00,le,8,5.0,80.1249008178711,80.1249008178711,
Eagle_office_Norbert,2017-01-01 09:00:00,le,9,6.7,101.41829681396484,101.41829681396484,
Eagle_office_Norbert,2017-01-01 10:00:00,le,10,7.8,98.7416000366211,98.7416000366211,
Eagle_office_Norbert,2017-01-01 11:00:00,le,11,8.9,80.61710357666016,80.61710357666016,
Eagle_office_Norbert,2017-01-01 12:00:00,le,12,8.9,104.95089721679688,104.95089721679688,
Eagle_office_Norbert,2017-01-01 13:00:00,le,13,10.0,84.17900085449219,84.17900085449219,
Eagle_office_Norbert,2017-01-01 14:00:00,le,14,9.4,84.08879852294922,84.08879852294922,
Eagle_office_Norbert,2017-01-01 15:00:00,le,15,9.4,82.1947021484375,82.1947021484375,
Eagle_office_Norbert,2017-01-01 16:00:00,le,16,8.9,75.1635971069336,75.1635971069336,
Eagle_office_Norbert,2017-01-01 17:00:00,le,17,7.8,78.62129974365234,78.62129974365234,
Eagle_office_Norbert,2017-01-01 18:00:00,le,18,5.0,87.21009826660156,87.21009826660156,
Eagle_office_Norbert,2017-01-01 19:00:00,le,19,3.9,84.1957015991211,84.1957015991211,
Eagle_office_Norbert,2017-01-01 20:00:00,le,20,2.2,80.07050323486328,80.07050323486328,
Eagle_office_Norbert,2017-01-01 21:00:00,le,21,0.6,77.55809783935547,77.55809783935547,
Eagle_office_Norbert,2017-01-01 22:00:00,le,22,1.1,81.16320037841797,81.16320037841797,
Eagle_office_Norbert,2017-01-01 23:00:00,le,23,2.8,76.86329650878906,76.86329650878906,
Eagle_office_Norbert,2017-01-02 00:00:00,ngay_lam_viec,0,1.1,82.75520324707031,82.75520324707031,
Eagle_office_Norbert,2017-01-02 01:00:00,ngay_lam_viec,1,0.0,75.79930114746094,75.79930114746094,
Eagle_office_Norbert,2017-01-02 02:00:00,ngay_lam_viec,2,0.6,80.33260345458984,80.33260345458984,
Eagle_office_Norbert,2017-01-02 03:00:00,ngay_lam_viec,3,1.1,77.25170135498047,77.25170135498047,
Eagle_office_Norbert,2017-01-02 04:00:00,ngay_lam_viec,4,2.2,77.87660217285156,77.87660217285156,
Eagle_office_Norbert,2017-01-02 05:00:00,ngay_lam_viec,5,2.2,82.7697982788086,82.7697982788086,
Eagle_office_Norbert,2017-01-02 06:00:00,ngay_lam_viec,6,1.7,81.36209869384766,81.36209869384766,
Eagle_office_Norbert,2017-01-02 07:00:00,ngay_lam_viec,7,1.7,78.30780029296875,78.30780029296875,
Eagle_office_Norbert,2017-01-02 08:00:00,ngay_lam_viec,8,2.2,82.88300323486328,82.88300323486328,
Eagle_office_Norbert,2017-01-02 09:00:00,ngay_lam_viec,9,2.2,88.68190002441406,88.68190002441406,
Eagle_office_Norbert,2017-01-02 10:00:00,ngay_lam_viec,10,2.8,86.21829986572266,86.21829986572266,
Eagle_office_Norbert,2017-01-02 11:00:00,ngay_lam_viec,11,3.9,84.847900390625,84.847900390625,
Eagle_office_Norbert,2017-01-02 12:00:00,ngay_lam_viec,12,3.9,77.69750213623047,77.69750213623047,
Eagle_office_Norbert,2017-01-02 13:00:00,ngay_lam_viec,13,4.4,82.97229766845703,82.97229766845703,
Eagle_office_Norbert,2017-01-02 14:00:00,ngay_lam_viec,14,3.9,108.6677017211914,108.6677017211914,
Eagle_office_Norbert,2017-01-02 15:00:00,ngay_lam_viec,15,4.4,83.16799926757812,83.16799926757812,
Eagle_office_Norbert,2017-01-02 16:00:00,ngay_lam_viec,16,5.0,85.40740203857422,85.40740203857422,
Eagle_office_Norbert,2017-01-02 17:00:00,ngay_lam_viec,17,4.4,80.91100311279297,80.91100311279297,
Eagle_office_Norbert,2017-01-02 18:00:00,ngay_lam_viec,18,4.4,84.90019989013672,84.90019989013672,
Eagle_office_Norbert,2017-01-02 19:00:00,ngay_lam_viec,19,4.4,96.44129943847656,96.44129943847656,
Eagle_office_Norbert,2017-01-02 20:00:00,ngay_lam_viec,20,4.4,89.1771011352539,89.1771011352539,
Eagle_office_Norbert,2017-01-02 21:00:00,ngay_lam_viec,21,3.9,87.44889831542969,87.44889831542969,
Eagle_office_Norbert,2017-01-02 22:00:00,ngay_lam_viec,22,4.4,81.03790283203125,81.03790283203125,
Eagle_office_Norbert,2017-01-02 23:00:00,ngay_lam_viec,23,4.4,77.30750274658203,77.30750274658203,
Eagle_office_Norbert,2017-01-03 00:00:00,ngay_lam_viec,0,4.4,74.47429656982422,74.47429656982422,
Eagle_office_Norbert,2017-01-03 01:00:00,ngay_lam_viec,1,4.4,77.3917007446289,77.3917007446289,
Eagle_office_Norbert,2017-01-03 02:00:00,ngay_lam_viec,2,5.0,80.81340026855469,80.81340026855469,
