entity_id,ts,day_type,tod_slot,temperature,cooling_kw,cooling_kw_clean,case_id
Bull_office_Efren,2017-01-01 00:00:00,le,0,15.6,30.38559913635254,30.38559913635254,
Bull_office_Efren,2017-01-01 01:00:00,le,1,14.4,27.361099243164062,27.361099243164062,
Bull_office_Efren,2017-01-01 02:00:00,le,2,14.4,21.488000869750977,21.488000869750977,
Bull_office_Efren,2017-01-01 03:00:00,le,3,13.9,20.50320053100586,20.50320053100586,
Bull_office_Efren,2017-01-01 04:00:00,le,4,13.9,20.257099151611328,20.257099151611328,
Bull_office_Efren,2017-01-01 05:00:00,le,5,13.9,17.478700637817383,17.478700637817383,
Bull_office_Efren,2017-01-01 06:00:00,le,6,12.8,12.55519962310791,12.55519962310791,
Bull_office_Efren,2017-01-01 07:00:00,le,7,11.7,9.847200393676758,9.847200393676758,
Bull_office_Efren,2017-01-01 08:00:00,le,8,11.7,12.027600288391113,12.027600288391113,
Bull_office_Efren,2017-01-01 09:00:00,le,9,12.2,10.093400001525879,10.093400001525879,
Bull_office_Efren,2017-01-01 10:00:00,le,10,15.0,9.565799713134766,9.565799713134766,
Bull_office_Efren,2017-01-01 11:00:00,le,11,17.2,16.14229965209961,16.14229965209961,
Bull_office_Efren,2017-01-01 12:00:00,le,12,18.9,25.07509994506836,25.07509994506836,
Bull_office_Efren,2017-01-01 13:00:00,le,13,20.6,33.902400970458984,33.902400970458984,
Bull_office_Efren,2017-01-01 14:00:00,le,14,22.2,35.20370101928711,35.20370101928711,
Bull_office_Efren,2017-01-01 15:00:00,le,15,22.8,35.41469955444336,35.41469955444336,
Bull_office_Efren,2017-01-01 16:00:00,le,16,23.3,36.71590042114258,36.71590042114258,
Bull_office_Efren,2017-01-01 17:00:00,le,17,22.2,38.12269973754883,38.12269973754883,
Bull_office_Efren,2017-01-01 18:00:00,le,18,20.0,48.14569854736328,48.14569854736328,
Bull_office_Efren,2017-01-01 19:00:00,le,19,18.9,117.04080200195312,117.04080200195312,
Bull_office_Efren,2017-01-01 20:00:00,le,20,17.8,92.80970001220703,92.80970001220703,
Bull_office_Efren,2017-01-01 21:00:00,le,21,17.2,80.46549987792969,80.46549987792969,
Bull_office_Efren,2017-01-01 22:00:00,le,22,16.7,76.66729736328125,76.66729736328125,
Bull_office_Efren,2017-01-01 23:00:00,le,23,16.7,74.41649627685547,74.41649627685547,
Bull_office_Efren,2017-01-02 00:00:00,ngay_lam_viec,0,17.2,73.39669799804688,73.39669799804688,
Bull_office_Efren,2017-01-02 01:00:00,ngay_lam_viec,1,17.2,79.48079681396484,79.48079681396484,
Bull_office_Efren,2017-01-02 02:00:00,ngay_lam_viec,2,17.2,82.18879699707031,82.18879699707031,
Bull_office_Efren,2017-01-02 03:00:00,ngay_lam_viec,3,16.7,80.57099914550781,80.57099914550781,
Bull_office_Efren,2017-01-02 04:00:00,ngay_lam_viec,4,17.2,89.53900146484375,89.53900146484375,
Bull_office_Efren,2017-01-02 05:00:00,ngay_lam_viec,5,14.4,91.43810272216797,91.43810272216797,
Bull_office_Efren,2017-01-02 06:00:00,ngay_lam_viec,6,13.3,25.35650062561035,25.35650062561035,
Bull_office_Efren,2017-01-02 07:00:00,ngay_lam_viec,7,12.8,40.619598388671875,40.619598388671875,
Bull_office_Efren,2017-01-02 08:00:00,ngay_lam_viec,8,12.2,40.197601318359375,40.197601318359375,
Bull_office_Efren,2017-01-02 09:00:00,ngay_lam_viec,9,13.9,42.44839859008789,42.44839859008789,
Bull_office_Efren,2017-01-02 10:00:00,ngay_lam_viec,10,16.1,57.25429916381836,57.25429916381836,
Bull_office_Efren,2017-01-02 11:00:00,ngay_lam_viec,11,18.3,89.60929870605469,89.60929870605469,
Bull_office_Efren,2017-01-02 12:00:00,ngay_lam_viec,12,19.4,105.61100006103516,105.61100006103516,
Bull_office_Efren,2017-01-02 13:00:00,ngay_lam_viec,13,21.1,115.70439910888672,115.70439910888672,
Bull_office_Efren,2017-01-02 14:00:00,ngay_lam_viec,14,22.8,123.40630340576172,123.40630340576172,
Bull_office_Efren,2017-01-02 15:00:00,ngay_lam_viec,15,22.8,134.55470275878906,134.55470275878906,
Bull_office_Efren,2017-01-02 16:00:00,ngay_lam_viec,16,22.8,144.89419555664062,144.89419555664062,
Bull_office_Efren,2017-01-02 17:00:00,ngay_lam_viec,17,22.2,147.10980224609375,147.10980224609375,
Bull_office_Efren,2017-01-02 18:00:00,ngay_lam_viec,18,19.4,121.29620361328125,121.29620361328125,
Bull_office_Efren,2017-01-02 19:00:00,ngay_lam_viec,19,17.8,93.82959747314453,93.82959747314453,
Bull_office_Efren,2017-01-02 20:00:00,ngay_lam_viec,20,16.7,62.91640090942383,62.91640090942383,
Bull_office_Efren,2017-01-02 21:00:00,ngay_lam_viec,21,14.4,48.532501220703125,48.532501220703125,
Bull_office_Efren,2017-01-02 22:00:00,ngay_lam_viec,22,14.4,46.281700134277344,46.281700134277344,
Bull_office_Efren,2017-01-02 23:00:00,ngay_lam_viec,23,12.2,39.599700927734375,39.599700927734375,
Bull_office_Efren,2017-01-03 00:00:00,ngay_lam_viec,0,11.1,26.024700164794922,26.024700164794922,
Bull_office_Efren,2017-01-03 01:00:00,ngay_lam_viec,1,12.8,20.819799423217773,20.819799423217773,
Bull_office_Efren,2017-01-03 02:00:00,ngay_lam_viec,2,11.1,15.57960033416748,15.57960033416748,
Bull_office_Efren,2017-01-03 03:00:00,ngay_lam_viec,3,9.4,11.535300254821777,11.535300254821777,
Bull_office_Efren,2017-01-03 04:00:00,ngay_lam_viec,4,9.4,8.93280029296875,8.93280029296875,
Bull_office_Efren,2017-01-03 05:00:00,ngay_lam_viec,5,10.0,6.998499870300293,6.998499870300293,
Bull_office_Efren,2017-01-03 06:00:00,ngay_lam_viec,6,10.6,2.9189999103546143,2.9189999103546143,
Bull_office_Efren,2017-01-03 07:00:00,ngay_lam_viec,7,12.2,5.662099838256836,5.662099838256836,
Bull_office_Efren,2017-01-03 08:00:00,ngay_lam_viec,8,12.2,14.03219985961914,14.03219985961914,
Bull_office_Efren,2017-01-03 09:00:00,ngay_lam_viec,9,12.8,21.558300018310547,21.558300018310547,
Bull_office_Efren,2017-01-03 10:00:00,ngay_lam_viec,10,16.7,45.507999420166016,45.507999420166016,
Bull_office_Efren,2017-01-03 11:00:00,ngay_lam_viec,11,18.9,80.67649841308594,80.67649841308594,
Bull_office_Efren,2017-01-03 12:00:00,ngay_lam_viec,12,21.1,99.80819702148438,99.80819702148438,
Bull_office_Efren,2017-01-03 13:00:00,ngay_lam_viec,13,22.8,119.22119903564453,119.22119903564453,
Bull_office_Efren,2017-01-03 14:00:00,ngay_lam_viec,14,23.9,129.73660278320312,129.73660278320312,
Bull_office_Efren,2017-01-03 15:00:00,ngay_lam_viec,15,23.9,134.97669982910156,134.97669982910156,
Bull_office_Efren,2017-01-03 16:00:00,ngay_lam_viec,16,23.3,140.60369873046875,140.60369873046875,
Bull_office_Efren,2017-01-03 17:00:00,ngay_lam_viec,17,21.7,135.3636016845703,135.3636016845703,
Bull_office_Efren,2017-01-03 18:00:00,ngay_lam_viec,18,18.3,97.76840209960938,97.76840209960938,
